<?xml version="1.0" encoding="utf-8"?>
<Catalog>
  <CatalogType>Orion Nebula Cluster Catalog (from HEASARC)</CatalogType>
  <Description>Orion Nebula Cluster Chandra HRC Optical Sample</Description>
  <VisualMagnitudeLimit>14.7</VisualMagnitudeLimit>
  <Epoch>2000.0</Epoch>
  <Author>Flaccomio et al.</Author>
  <Date>2007-05-17 20:18:25</Date>
  <Source>http://heasarc.gsfc.nasa.gov/W3Browse/chandra/onccxoopt.html</Source>
  <Comments>
    Catalog covers 1 Constellations and contains 696 Objects.
    File was saved: Mon Jul 06 16:56:39 EDT 2015
    File was created and filtered by J. L. Lawrence
  </Comments>
  <DataFormatDescrip>
    The format for star catalogs requires that the objects in the catalog
    be sorted by constellation (i.e., constellation abbreviated name) and then by
    object name within the constellations. The data below, sorted by constellation
    and then by object name, is saved as comma delimited fields as follows:
    Name,RA,Decl,mV,Constellation,Alternate Name,Comment
    IMPORTANT NOTE: Because commas are used as field delimiters, commas must **NOT**
    be included in the Name, Alternate Name, or Comment fields!
  </DataFormatDescrip>
  <Data>
    [FDM2003] Opt 118,5.581714,-5.359894,,Ori,,
    [FDM2003] Opt 119,5.581756,-5.289342,,Ori,,
    [FDM2003] Opt 120,5.581822,-5.471722,,Ori,,
    [FDM2003] Opt 121,5.581875,-5.420203,,Ori,,
    [FDM2003] Opt 122,5.581919,-5.449697,,Ori,,
    [FDM2003] Opt 123,5.581939,-5.424875,,Ori,,
    [FDM2003] Opt 124,5.582000,-5.506097,,Ori,,
    [FDM2003] Opt 125,5.582089,-5.493761,,Ori,,
    [FDM2003] Opt 126,5.582150,-5.329317,,Ori,,
    [FDM2003] Opt 127,5.582192,-5.520289,,Ori,,
    [FDM2003] Opt 128,5.582192,-5.386989,,Ori,,
    [FDM2003] Opt 129,5.582192,-5.490675,,Ori,,
    [FDM2003] Opt 130,5.582297,-5.561272,,Ori,,
    [FDM2003] Opt 131,5.582342,-5.464156,,Ori,,
    [FDM2003] Opt 132,5.582372,-5.186928,,Ori,,
    [FDM2003] Opt 133,5.582411,-5.443681,,Ori,,
    [FDM2003] Opt 134,5.582417,-5.178936,,Ori,,
    [FDM2003] Opt 135,5.582428,-5.192631,,Ori,,
    [FDM2003] Opt 136,5.582481,-5.383406,,Ori,,
    [FDM2003] Opt 137,5.582514,-5.558231,,Ori,,
    [FDM2003] Opt 138,5.582581,-5.242750,,Ori,,
    [FDM2003] Opt 139,5.582600,-5.511669,,Ori,,
    [FDM2003] Opt 140,5.582689,-5.397864,,Ori,,
    [FDM2003] Opt 141,5.582694,-5.380950,,Ori,,
    [FDM2003] Opt 142,5.582717,-5.478350,,Ori,,
    [FDM2003] Opt 143,5.582731,-5.496089,,Ori,,
    [FDM2003] Opt 144,5.582764,-5.293922,,Ori,,
    [FDM2003] Opt 145,5.582811,-5.198381,,Ori,,
    [FDM2003] Opt 146,5.582828,-5.425953,,Ori,,
    [FDM2003] Opt 147,5.582861,-5.354728,,Ori,,
    [FDM2003] Opt 148,5.582947,-5.207397,,Ori,,
    [FDM2003] Opt 149,5.583006,-5.467600,,Ori,,
    [FDM2003] Opt 150,5.583083,-5.385561,,Ori,,
    [FDM2003] Opt 151,5.583117,-5.392450,,Ori,,
    [FDM2003] Opt 152,5.583183,-5.400108,,Ori,,
    [FDM2003] Opt 153,5.583206,-5.427781,,Ori,,
    [FDM2003] Opt 154,5.583342,-5.383911,,Ori,,
    [FDM2003] Opt 155,5.583344,-5.421181,,Ori,,
    [FDM2003] Opt 156,5.583378,-5.314214,,Ori,,
    [FDM2003] Opt 157,5.583419,-5.162394,,Ori,,
    [FDM2003] Opt 158,5.583436,-5.420653,,Ori,,
    [FDM2003] Opt 159,5.583547,-5.160953,,Ori,,
    [FDM2003] Opt 160,5.583592,-5.402906,,Ori,,
    [FDM2003] Opt 161,5.583611,-5.384442,,Ori,,
    [FDM2003] Opt 162,5.583669,-5.338081,,Ori,,
    [FDM2003] Opt 163,5.583681,-5.339578,,Ori,,
    [FDM2003] Opt 164,5.583694,-5.403561,,Ori,,
    [FDM2003] Opt 165,5.583708,-5.159164,,Ori,,
    [FDM2003] Opt 166,5.583719,-5.472433,,Ori,,
    [FDM2003] Opt 167,5.583739,-5.388617,,Ori,,
    [FDM2003] Opt 168,5.583747,-5.426142,,Ori,,
    [FDM2003] Opt 169,5.583753,-5.402867,,Ori,,
    [FDM2003] Opt 170,5.583814,-5.505358,,Ori,,
    [FDM2003] Opt 171,5.583825,-5.398283,,Ori,,
    [FDM2003] Opt 172,5.583886,-5.306392,,Ori,,
    [FDM2003] Opt 173,5.583886,-5.443406,,Ori,,
    [FDM2003] Opt 174,5.583894,-5.260406,,Ori,,
    [FDM2003] Opt 175,5.583914,-5.486036,,Ori,,
    [FDM2003] Opt 176,5.583922,-5.354131,,Ori,,
    [FDM2003] Opt 177,5.583986,-5.346336,,Ori,,
    [FDM2003] Opt 178,5.584000,-5.552781,,Ori,,
    [FDM2003] Opt 179,5.584072,-5.329136,,Ori,,
    [FDM2003] Opt 180,5.584075,-5.534111,,Ori,,
    [FDM2003] Opt 181,5.584142,-5.500378,,Ori,,
    [FDM2003] Opt 182,5.584167,-5.377233,,Ori,,
    [FDM2003] Opt 183,5.584186,-5.308428,,Ori,,
    [FDM2003] Opt 184,5.584206,-5.298247,,Ori,,
    [FDM2003] Opt 185,5.584261,-5.436167,,Ori,,
    [FDM2003] Opt 186,5.584264,-5.392508,,Ori,,
    [FDM2003] Opt 187,5.584336,-5.379378,,Ori,,
    [FDM2003] Opt 188,5.584353,-5.440678,,Ori,,
    [FDM2003] Opt 189,5.584397,-5.484269,,Ori,,
    [FDM2003] Opt 190,5.584408,-5.316706,,Ori,,
    [FDM2003] Opt 191,5.584436,-5.443661,,Ori,,
    [FDM2003] Opt 192,5.584467,-5.373483,,Ori,,
    [FDM2003] Opt 193,5.584472,-5.336758,,Ori,,
    [FDM2003] Opt 194,5.584472,-5.441078,,Ori,,
    [FDM2003] Opt 195,5.584522,-5.387253,,Ori,,
    [FDM2003] Opt 196,5.584558,-5.434578,,Ori,,
    [FDM2003] Opt 197,5.584564,-5.493967,,Ori,,
    [FDM2003] Opt 198,5.584589,-5.439731,,Ori,,
    [FDM2003] Opt 199,5.584589,-5.411817,,Ori,,
    [FDM2003] Opt 200,5.584606,-5.493400,,Ori,,
    [FDM2003] Opt 201,5.584628,-5.443886,,Ori,,
    [FDM2003] Opt 202,5.584647,-5.377494,,Ori,,
    [FDM2003] Opt 203,5.584661,-5.349381,,Ori,,
    [FDM2003] Opt 204,5.584717,-5.612294,,Ori,,
    [FDM2003] Opt 205,5.584750,-5.434375,,Ori,,
    [FDM2003] Opt 206,5.584756,-5.247414,,Ori,,
    [FDM2003] Opt 207,5.584778,-5.417511,,Ori,,
    [FDM2003] Opt 208,5.584789,-5.574625,,Ori,,
    [FDM2003] Opt 209,5.584800,-5.402969,,Ori,,
    [FDM2003] Opt 210,5.584811,-5.454739,,Ori,,
    [FDM2003] Opt 211,5.584822,-5.375158,,Ori,,
    [FDM2003] Opt 212,5.584825,-5.432178,,Ori,,
    [FDM2003] Opt 213,5.584833,-5.464494,,Ori,,
    [FDM2003] Opt 214,5.584867,-5.489542,,Ori,,
    [FDM2003] Opt 215,5.584875,-5.422083,,Ori,,
    [FDM2003] Opt 216,5.584889,-5.418442,,Ori,,
    [FDM2003] Opt 217,5.584897,-5.398375,,Ori,,
    [FDM2003] Opt 218,5.584900,-5.405144,,Ori,,
    [FDM2003] Opt 219,5.584900,-5.440639,,Ori,,
    [FDM2003] Opt 220,5.584908,-5.565533,,Ori,,
    [FDM2003] Opt 221,5.584917,-5.387803,,Ori,,
