<?xml version="1.0" encoding="utf-8"?>
<Catalog>
  <CatalogType>SAO J2000 Star Catalog (from HEASARC)</CatalogType>
  <Description>Smithsonian Astrophysical Observatory Star Catalog</Description>
  <VisualMagnitudeLimit>6.5</VisualMagnitudeLimit>
  <Epoch>2000.0</Epoch>
  <Author>SAO</Author>
  <Date>2007-10-31 18:05:07</Date>
  <Source>http://heasarc.gsfc.nasa.gov/W3Browse/star-catalog/sao.html</Source>
  <Comments>
    Catalog covers 88 Constellations and contains 9023 Objects.
    File was saved: Mon Jul 06 16:58:37 EDT 2015
    File was created and filtered by J. L. Lawrence
  </Comments>
  <DataFormatDescrip>
    The format for star catalogs requires that the objects in the catalog
    be sorted by constellation (i.e., constellation abbreviated name) and then by
    object name within the constellations. The data below, sorted by constellation
    and then by object name, is saved as comma delimited fields as follows:
    Name,RA,Decl,mV,Constellation,Alternate Name,Comment
    IMPORTANT NOTE: Because commas are used as field delimiters, commas must **NOT**
    be included in the Name, Alternate Name, or Comment fields!
  </DataFormatDescrip>
  <Data>
    SAO 201927,10.945303,-37.137886,4.700000,Ant,,
    SAO 202067,11.081704,-35.804708,5.500000,Ant,,
    SAO 221877,10.229418,-40.345928,6.000000,Ant,,
    SAO 221883,10.232388,-40.310533,6.300000,Ant,,
    SAO 253882,17.366528,-67.770358,4.700000,Aps,,
    SAO 257107,14.009159,-78.590383,6.200000,Aps,,
    SAO 257112,14.088826,-76.796739,6.100000,Aps,,
    SAO 257116,14.140830,-74.850475,6.000000,Aps,,
    SAO 257131,14.281911,-77.663983,6.200000,Aps,,
    SAO 257142,14.372967,-80.108894,5.200000,Aps,,
    SAO 257152,14.454450,-78.620122,6.500000,Aps,,
    SAO 257163,14.493546,-76.729122,6.000000,Aps,,
    SAO 257193,14.797679,-79.044767,3.800000,Aps,,
    SAO 257202,14.858464,-77.175636,6.500000,Aps,,
    SAO 257206,14.887144,-73.190114,5.600000,Aps,,
    SAO 257212,14.964674,-76.662653,5.000000,Aps,,
    SAO 257218,15.003281,-77.160189,6.000000,Aps,,
    SAO 257219,14.998895,-75.032497,6.300000,Aps,,
    SAO 257238,15.119070,-71.905244,6.500000,Aps,,
    SAO 257247,15.209393,-72.770308,6.100000,Aps,,
    SAO 257264,15.324713,-71.792525,6.500000,Aps,,
    SAO 257289,15.525213,-73.389614,5.600000,Aps,,
    SAO 257303,15.655187,-77.918067,6.000000,Aps,,
    SAO 257307,15.672559,-73.446747,5.800000,Aps,,
    SAO 257310,15.698568,-76.081869,6.000000,Aps,,
    SAO 257341,15.998478,-78.026725,6.500000,Aps,,
    SAO 257357,16.098834,-72.400806,5.700000,Aps,,
    SAO 257380,16.339107,-78.695819,4.800000,Aps,,
    SAO 257381,16.340777,-78.667358,5.200000,Aps,,
    SAO 257407,16.557558,-78.897058,3.900000,Aps,,
    SAO 257409,16.571956,-70.988406,5.600000,Aps,,
    SAO 257420,16.714486,-79.023853,6.500000,Aps,,
    SAO 257424,16.717974,-77.517500,4.200000,Aps,,
    SAO 257472,17.205506,-70.721069,6.300000,Aps,,
    SAO 257478,17.276606,-74.533050,6.400000,Aps,,
    SAO 257491,17.368296,-70.123278,5.600000,Aps,,
    SAO 257542,17.961619,-76.177400,6.100000,Aps,,
    SAO 257569,18.187689,-75.891411,5.700000,Aps,,
    SAO 257571,18.209582,-73.671722,5.900000,Aps,,
    SAO 258693,14.303781,-81.007619,5.000000,Aps,,
    SAO 258697,14.406461,-82.848675,6.400000,Aps,,
    SAO 258769,17.524230,-80.859189,5.900000,Aps,,
    SAO 258787,18.090620,-81.486447,6.300000,Aps,,
    SAO 104296,18.970759,17.360936,5.400000,Aql,,
    SAO 104303,18.979696,13.906586,5.900000,Aql,,
    SAO 104308,18.984923,13.622375,5.400000,Aql,,
    SAO 104313,18.988190,10.140794,6.500000,Aql,,
    SAO 104318,18.993712,15.068267,4.200000,Aql,,
    SAO 104461,19.090170,13.863456,3.000000,Aql,,
    SAO 104488,19.116277,11.071289,5.100000,Aql,,
    SAO 104655,19.255579,15.083619,5.700000,Aql,,
    SAO 104668,19.274112,14.544783,5.500000,Aql,,
    SAO 104691,19.296944,11.595447,5.100000,Aql,,
    SAO 104722,19.327596,12.374772,5.400000,Aql,,
    SAO 104728,19.331399,11.535083,6.000000,Aql,,
    SAO 104807,19.416167,11.944372,5.200000,Aql,,
    SAO 104832,19.440027,13.023831,5.800000,Aql,,
    SAO 104862,19.459374,14.282283,6.300000,Aql,,
    SAO 104896,19.489479,14.595956,5.700000,Aql,,
    SAO 105032,19.602222,11.150094,6.500000,Aql,,
    SAO 105036,19.604394,14.391703,6.500000,Aql,,
    SAO 105045,19.614580,11.273364,6.200000,Aql,,
    SAO 105132,19.684866,13.815583,5.800000,Aql,,
    SAO 105156,19.703553,12.193361,6.300000,Aql,,
    SAO 105168,19.709435,11.826606,5.300000,Aql,,
    SAO 105199,19.742814,13.302894,6.100000,Aql,,
    SAO 105223,19.770997,10.613308,2.800000,Aql,,
    SAO 105278,19.808454,10.694194,6.400000,Aql,,
    SAO 105282,19.811690,11.815956,5.700000,Aql,,
    SAO 105338,19.850452,10.415633,5.200000,Aql,,
    SAO 105348,19.867637,11.628764,6.200000,Aql,,
    SAO 105355,19.871002,10.351417,6.500000,Aql,,
    SAO 105438,19.937289,11.423744,5.300000,Aql,,
    SAO 105505,19.986690,11.305656,6.500000,Aql,,
    SAO 105615,20.058335,16.031311,5.500000,Aql,,
    SAO 105743,20.143955,10.725625,6.200000,Aql,,
    SAO 123879,18.747203,2.059922,5.000000,Aql,,
    SAO 123947,18.826969,0.835922,6.300000,Aql,,
    SAO 124050,18.924293,6.615297,5.700000,Aql,,
    SAO 124112,18.973264,6.240144,6.400000,Aql,,
    SAO 124203,19.058941,1.818875,5.700000,Aql,,
    SAO 124219,19.069628,3.330456,6.500000,Aql,,
    SAO 124266,19.106178,8.229964,5.500000,Aql,,
    SAO 124282,19.119183,0.641594,6.400000,Aql,,
    SAO 124318,19.149973,6.073211,5.400000,Aql,,
    SAO 124408,19.228529,2.293786,5.100000,Aql,,
    SAO 124410,19.228905,5.515767,6.300000,Aql,,
    SAO 124455,19.275283,4.834653,5.400000,Aql,,
    SAO 124457,19.276263,6.596578,6.500000,Aql,,
    SAO 124478,19.296716,2.031581,6.100000,Aql,,
    SAO 124487,19.309019,1.085161,5.300000,Aql,,
    SAO 124492,19.314140,0.339050,6.500000,Aql,,
    SAO 124497,19.314650,9.618078,6.400000,Aql,,
    SAO 124564,19.380110,9.912814,6.300000,Aql,,
    SAO 124603,19.424971,3.114781,3.400000,Aql,,
    SAO 124628,19.441967,0.338650,4.900000,Aql,,
    SAO 124661,19.472444,2.930311,5.900000,Aql,,
    SAO 124675,19.483604,1.950406,5.800000,Aql,,
    SAO 124681,19.488332,0.246156,6.500000,Aql,,
    SAO 124698,19.502904,2.904156,6.400000,Aql,,
    SAO 124704,19.509191,3.444467,6.300000,Aql,,
    SAO 124799,19.568159,7.378903,4.600000,Aql,,
    SAO 124823,19.590332,2.913281,6.500000,Aql,,
    SAO 124892,19.646932,3.381675,6.400000,Aql,,
    SAO 124903,19.653228,5.397856,5.200000,Aql,,
    SAO 125011,19.744824,8.726475,6.500000,Aql,,
    SAO 125032,19.761090,7.613233,5.700000,Aql,,
    SAO 125116,19.838198,7.902503,6.400000,Aql,,
    SAO 125122,19.846389,8.868353,0.900000,Aql,,
    SAO 125139,19.854906,9.630347,6.300000,Aql,,
    SAO 125159,19.874548,1.005625,4.000000,Aql,,
    SAO 125182,19.889618,4.400553,6.300000,Aql,,
    SAO 125210,19.904130,8.461397,4.900000,Aql,,
    SAO 125219,19.912445,0.273731,5.600000,Aql,,
    SAO 125221,19.911181,7.140219,6.000000,Aql,,
    SAO 125235,19.921888,6.406753,3.900000,Aql,,
    SAO 125310,19.989622,1.377372,6.400000,Aql,,
    SAO 125355,20.016370,8.557936,6.100000,Aql,,
    SAO 125403,20.068977,7.277917,5.600000,Aql,,
    SAO 125478,20.130651,9.399669,6.500000,Aql,,
    SAO 125747,20.386303,5.342961,5.400000,Aql,,
    SAO 125769,20.410406,1.068472,6.100000,Aql,,
    SAO 142606,18.774596,-0.961639,5.700000,Aql,,
    SAO 142706,18.856152,-3.317997,6.000000,Aql,,
    SAO 142825,18.939597,-1.799783,6.200000,Aql,,
    SAO 142931,19.028010,-5.739006,4.100000,Aql,,
    SAO 142959,19.048481,-3.699000,5.500000,Aql,,
    SAO 142996,19.082678,-4.031475,5.500000,Aql,,
    SAO 143003,19.088511,-1.512742,6.500000,Aql,,
    SAO 143021,19.104149,-4.882503,3.500000,Aql,,
    SAO 143087,19.164334,-0.428106,6.400000,Aql,,
    SAO 143134,19.211311,-7.939536,5.400000,Aql,,
    SAO 143163,19.237784,-8.718608,6.500000,Aql,,
    SAO 143286,19.342473,-5.415747,5.100000,Aql,,
    SAO 143292,19.343244,-0.892114,5.500000,Aql,,
    SAO 143321,19.372416,-8.201161,6.500000,Aql,,
    SAO 143324,19.372638,-0.252425,6.000000,Aql,,
    SAO 143340,19.384614,-7.400169,6.400000,Aql,,
    SAO 143373,19.417123,-4.884233,6.500000,Aql,,
    SAO 143454,19.489308,-7.043814,6.300000,Aql,,
    SAO 143482,19.511064,-2.788819,5.200000,Aql,,
    SAO 143564,19.591622,-7.460319,6.400000,Aql,,
    SAO 143597,19.612027,-1.286497,4.300000,Aql,,
    SAO 143600,19.614851,-7.027522,5.000000,Aql,,
    SAO 143621,19.629808,-4.647583,5.500000,Aql,,
    SAO 143678,19.678704,-0.621253,5.500000,Aql,,
    SAO 143776,19.764517,-2.883486,6.500000,Aql,,
    SAO 143853,19.853082,-2.460850,6.400000,Aql,,
    SAO 143883,19.888540,-3.114447,5.600000,Aql,,
    SAO 143894,19.902290,-8.574256,6.000000,Aql,,
    SAO 143898,19.910458,-8.227242,5.800000,Aql,,
    SAO 143899,19.910591,-8.237086,6.500000,Aql,,
    SAO 143911,19.922101,-6.734294,6.500000,Aql,,
    SAO 144038,20.067007,-7.469778,6.500000,Aql,,
    SAO 144045,20.073108,-0.709308,5.800000,Aql,,
    SAO 144095,20.133837,-0.678244,6.000000,Aql,,
    SAO 144150,20.188413,-0.821464,3.400000,Aql,,
    SAO 144181,20.220518,-1.009342,5.600000,Aql,,
    SAO 144296,20.328683,-1.078553,6.200000,Aql,,
    SAO 144412,20.428472,-2.800158,6.100000,Aql,,
    SAO 144468,20.473572,-3.357747,6.000000,Aql,,
    SAO 144495,20.494167,-2.885478,5.100000,Aql,,
    SAO 144624,20.612114,-2.549597,5.200000,Aql,,
    SAO 144632,20.621760,0.096872,6.200000,Aql,,
    SAO 144649,20.638961,-1.105214,4.500000,Aql,,
