<?xml version="1.0" encoding="utf-8"?>
<Catalog>
  <CatalogType>Reflection Nebulae Catalog (from HEASARC)</CatalogType>
  <Description>Merged Catalog of Reflection Nebulae</Description>
  <VisualMagnitudeLimit>14.7</VisualMagnitudeLimit>
  <Epoch>2000.0</Epoch>
  <Author>Magakian</Author>
  <Date>2012-10-31 12:44:08</Date>
  <Source>http://heasarc.gsfc.nasa.gov/W3Browse/nebula-catalog/refnebulae.html</Source>
  <Comments>
    Catalog covers 42 Constellations and contains 913 Objects.
    File was saved: Mon Jul 06 16:57:13 EDT 2015
    File was created and filtered by J. L. Lawrence
  </Comments>
  <DataFormatDescrip>
    The format for star catalogs requires that the objects in the catalog
    be sorted by constellation (i.e., constellation abbreviated name) and then by
    object name within the constellations. The data below, sorted by constellation
    and then by object name, is saved as comma delimited fields as follows:
    Name,RA,Decl,mV,Constellation,Alternate Name,Comment
    IMPORTANT NOTE: Because commas are used as field delimiters, commas must **NOT**
    be included in the Name, Alternate Name, or Comment fields!
  </DataFormatDescrip>
    [M2003] 548,11.211944,-77.373056,,Cha,,double star
    [M2003] 618,14.722222,-58.739444,,Cir,,
    [M2003] 619,14.724444,-58.725000,,Cir,,2 stars
    [M2003] 620,14.821389,-65.255000,,Cir,,on edge of dark cloud
    [M2003] 621,14.965556,-59.761944,,Cir,,this is the star measured by RP and pointed on chart in VdBH.
    [M2003] 622,14.971667,-59.750556,,Cir,,the fainter nebulous star corresponding to coords in VdBH table and SIMBAD
    [M2003] 623,14.972500,-59.659167,,Cir,,
    [M2003] 624,14.987222,-63.001667,,Cir,,
    [M2003] 625,14.998333,-57.185556,,Cir,,
    [M2003] 626,15.005833,-63.225000,,Cir,,3 stars
    [M2003] 627,15.011667,-63.186389,,Cir,GRV15,
    [M2003] 628,15.016389,-63.281944,,Cir,PP80 GRV16,
    [M2003] 629,15.056667,-63.383056,,Cir,GRV17,
    [M2003] 631,15.251667,-62.763056,,Cir,,
    [M2003] 212,6.662500,-27.248611,,CMa,,VdB83 is galaxy+star but several stars around have refl. nebulae
    [M2003] 213,6.668333,-27.398056,,CMa,,
    [M2003] 230,6.987500,-11.990556,,CMa,RNO80,
    [M2003] 233,7.030556,-11.301667,,CMa,GU CMa Sh293,
    [M2003] 235,7.044167,-12.235000,,CMa,,
    [M2003] 236,7.045278,-11.453333,,CMa,FZ CMa Sh295,
    [M2003] 238,7.049722,-11.456944,,CMa,PP70,
    [M2003] 241,7.061944,-11.552500,,CMa,Z CMa,
    [M2003] 242,7.065278,-11.575556,,CMa,,small cluster
    [M2003] 243,7.068889,-11.316389,,CMa,RNO83 LkHa221,several stars in common nebula. BD number refers probably to whole group
    [M2003] 244,7.070556,-11.316389,,CMa,,3 stars with nebulae
    [M2003] 245,7.070278,-16.378889,,CMa,,several stars
    [M2003] 247,7.088056,-12.326667,,CMa,Sh297,
    [M2003] 248,7.111389,-11.293889,,CMa,,2 stars
    [M2003] 251,7.163333,-18.607222,,CMa,,
    [M2003] 255,7.290000,-18.692222,,CMa,,
    [M2003] 256,7.303056,-26.856111,,CMa,,
    [M2003] 257,7.321111,-23.941111,,CMa,,nature not clear
    [M2003] 258,7.326944,-24.023889,,CMa,,triple star
    [M2003] 259,7.333056,-24.073889,,CMa,,actually one nebula with DG118
    [M2003] 261,7.339444,-27.786389,,CMa,ESO428-*N?021,not galaxy
    [M2003] 262,7.397778,-24.766944,,CMa,,3 stars
    [M2003] 263,7.400278,-24.401389,,CMa,,
    [M2003] 264,7.403889,-24.637778,,CMa,,several stars
    [M2003] 265,7.408611,-24.693889,,CMa,,
    [M2003] 266,7.412222,-16.475833,,CMa,,
    [M2003] 267,7.411111,-24.573333,,CMa,GM2-20,
    [M2003] 268,7.412778,-24.501389,,CMa,GM3-7,2 stars inside compact nebula
    [M2003] 269,7.413056,-24.689167,,CMa,,
    [M2003] 270,7.415000,-24.491944,,CMa,GM1-22,
    [M2003] 779,18.944444,-37.344167,,CrA,V686 CrA,
    [M2003] 781,19.018889,-36.955000,,CrA,S CrA,
    [M2003] 782,19.026389,-37.015278,,CrA,V709 CrA,
    [M2003] 783,19.027222,-36.891944,,CrA,TY CrA,
    [M2003] 784,19.031389,-36.953611,,CrA,R CrA,
    [M2003] 568,12.104444,-60.181389,,Cru,GRV11,
    [M2003] 570,12.216944,-61.841389,,Cru,,
    [M2003] 571,12.239167,-60.302500,,Cru,,edge of cloud
    [M2003] 572,12.285278,-60.221667,,Cru,,faint;nature not clear
    [M2003] 573,12.286389,-62.126111,,Cru,,double star
    [M2003] 574,12.290556,-60.242500,,Cru,,
    [M2003] 575,12.296667,-59.733056,,Cru,,
    [M2003] 576,12.317778,-62.985278,,Cru,,
    [M2003] 577,12.327222,-62.956389,,Cru,,
    [M2003] 578,12.332222,-63.752500,,Cru,,
    [M2003] 579,12.333611,-62.971111,,Cru,,
    [M2003] 580,12.337500,-62.891389,,Cru,,
    [M2003] 581,12.373056,-63.287778,,Cru,Hen 2-80,several stars
    [M2003] 582,12.375833,-63.288889,,Cru,,
    [M2003] 586,12.708333,-61.474444,,Cru,,
    [M2003] 588,12.773333,-64.191111,,Cru,,
    [M2003] 589,12.855833,-63.303611,,Cru,,several stars
    [M2003] 590,12.956389,-61.526389,,Cru,Re10,
    [M2003] 807,20.076667,32.217500,,Cyg,V1768 Cyg,
    [M2003] 809,20.082222,35.617500,,Cyg,,
    [M2003] 811,20.208056,35.916389,,Cyg,GM1-77,2 nebulae
    [M2003] 812,20.280556,34.824444,,Cyg,,
    [M2003] 813,20.297500,39.351667,,Cyg,GM2-40,several nebulous stars; HD 228789 probably does not related
    [M2003] 815,20.300278,41.901111,,Cyg,,
    [M2003] 816,20.313889,46.321944,,Cyg,V1773 Cyg,
    [M2003] 817,20.336944,37.170556,,Cyg,GM1-27,
    [M2003] 818,20.345278,40.452778,,Cyg,,
    [M2003] 819,20.396667,42.206944,,Cyg,V1515 Cyg,
    [M2003] 820,20.403333,35.860000,,Cyg,GM1-10,
    [M2003] 821,20.404444,42.299722,,Cyg,,
    [M2003] 822,20.408333,42.233611,,Cyg,P22,involved in larger nebula
    [M2003] 823,20.412222,36.098333,,Cyg,GM1-28 RNO120,
    [M2003] 824,20.411389,42.481667,,Cyg,,
    [M2003] 825,20.413056,42.385556,,Cyg,,
    [M2003] 826,20.415833,39.185278,,Cyg,GM2-31 RNO121,
    [M2003] 828,20.452222,40.051111,,Cyg,,
    [M2003] 829,20.501111,48.951667,,Cyg,V2014 Cyg,
    [M2003] 830,20.516667,36.933889,,Cyg,,
    [M2003] 831,20.536111,40.307778,,Cyg,GM2-41 RNO122,
    [M2003] 832,20.562222,43.244167,,Cyg,,
    [M2003] 833,20.612778,32.454722,,Cyg,,
    [M2003] 835,20.638056,42.072500,,Cyg,,
    [M2003] 838,20.930278,47.416944,,Cyg,V2140 Cyg,
    [M2003] 839,20.938889,52.707222,,Cyg,Kr4-2,
    [M2003] 840,20.954722,48.295833,,Cyg,,
    [M2003] 841,20.985000,48.093333,,Cyg,GM1-30 V522 Cyg,
    [M2003] 842,21.005556,53.886944,,Cyg,,
    [M2003] 843,21.019167,50.361944,,Cyg,LkHa120 V1331 Cyg,
    [M2003] 845,21.040000,50.051389,,Cyg,L988a,
    [M2003] 847,21.051111,50.219722,,Cyg,,
    [M2003] 850,21.065278,50.252500,,Cyg,LkHa324 V1982 Cyg,
    [M2003] 852,21.067778,50.122778,,Cyg,,
    [M2003] 853,21.121111,44.673333,,Cyg,,
    [M2003] 854,21.204167,51.795833,,Cyg,,
    [M2003] 855,21.220556,46.366944,,Cyg,,2-3 stars
    [M2003] 859,21.366111,46.908333,,Cyg,RNO134,
    [M2003] 860,21.380278,46.885833,,Cyg,,not GM1-51
    [M2003] 861,21.435000,49.560278,,Cyg,Kr3-5,
    [M2003] 862,21.553056,42.404444,,Cyg,,
    [M2003] 865,21.678889,54.872222,,Cyg,,
    [M2003] 869,21.726944,48.883333,,Cyg,,
    [M2003] 873,21.763333,48.658889,,Cyg,,
    [M2003] 874,21.876389,47.228056,,Cyg,V1578 Cyg,
    [M2003] 876,22.040000,54.912778,,Cyg,,
    [M2003] 827,20.423333,64.551667,,Dra,,
    [M2003] 834,20.605556,67.941944,,Dra,GM3-12 RNO124,
    [M2003] 91,5.125278,-6.171667,,Eri,RNO37,2 stars
    [M2003] 176,6.148333,21.639722,,Gem,RNO65 GL5180,RNO and IR source seen through refl. neb. near bright star?
    [M2003] 189,6.309722,23.313333,,Gem,,
    [M2003] 190,6.322778,23.274167,,Gem,,
    [M2003] 205,6.557500,12.058056,,Gem,UGC3490,not galaxy
    [M2003] 226,6.965556,17.829444,,Gem,,edge of cloud
    [M2003] 881,22.231389,39.714444,,Lac,,
    [M2003] 896,22.578056,40.667778,,Lac,LkHa233 V375 Lac,
    [M2003] 162,5.963889,-14.098333,,Lep,,several stars
    [M2003] 163,5.965000,-14.060278,,Lep,,
    [M2003] 171,6.097778,-15.653611,,Lep,P5,not galaxy; 2 stars
    [M2003] 616,14.460278,-45.938611,,Lup,,faint
    [M2003] 617,14.506111,-53.915556,,Lup,,2 stars with nebulae
    [M2003] 630,15.079722,-47.460833,,Lup,,faint cloud
    [M2003] 632,15.305556,-50.277500,,Lup,,
    [M2003] 633,15.315000,-50.490000,,Lup,,bright egde of cloud
    [M2003] 634,15.753611,-34.292222,,Lup,HT Lup PP81,
    [M2003] 636,15.801389,-35.264722,,Lup,HN Lup,
    [M2003] 641,15.945278,-42.322500,,Lup,,
    [M2003] 647,16.032778,-37.533889,,Lup,LL Lup,
    [M2003] 648,16.039722,-41.453333,,Lup,,not galaxy
    [M2003] 651,16.083611,-39.762500,,Lup,,
    [M2003] 305,8.053333,46.216944,,Lyn,MBM25,bright star illuminating high-latitude molecular cloud
    [M2003] 166,6.037500,-9.114167,,Mon,GM2-10,several nebulae
    [M2003] 169,6.058333,-9.732222,,Mon,PP51 RNO61,
    [M2003] 173,6.125278,-6.399722,,Mon,,
    [M2003] 174,6.134444,-6.228056,,Mon,,
